RefID,Database,Reference,LatDec,LongDec,Site ,SiteID,Country,ID,Ecosystem,SiteDescrip,Class,ShoulderSeason,Seas,Year.P,Years,SampleDays,Month.Numbers,SampMonths,Meth,Coll,Occ,GrowSL,CH4An,log.CH4,CH4.Pos,CH4Av,CH4Md,CH4Mx,NEPPer,ERPer,GEPPer,MAAT,MAP,TPer,AveGridTemp,TSoilA,TsoilB,TSoilDepth,WTAv,WTFit,WTMax,WTMin,WTFluc,SoilMoist,SoilMostD,Org,AL,Thaw,PfReg,PfConA,PfTh,pH,Sedge,Sphag,Moss,Trees,Shrubs,Annual.Temp,TotalID,CD_Pcp_An,BIOME
1,Olefeldt,"Adamsen and King, 1993, Applied and Environmental Microbiology",54.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,-,Subarctic Tundra,Elevated Tundra,UpTundra,-,S,1993,1990,-,1,J,C,-,-,-,-,0.826074803,6.7,-3.3,-,-,-,-,-,-5.3,785,-,12.93,-,-,-,-,-25,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-4.6,ScheffervilleUpTundra,787.338,6
1,Olefeldt,"Adamsen and King, 1993, Applied and Environmental Microbiology",54.72,-66.7,"Schefferville, Quebec, Canada",Schefferville,Canada,-,Forest,Black Spruce (6m),Boreal,-,S,1993,1990,-,1,J,C,-,-,-,-,0.963787827,9.2,-0.8,-,-,-,-,-,-5.3,785,-,12.93,-,-,-,-,-25,-,-,-,-,-,-,-,-,S,-,-,-,A,A,A,D,D,-4.6,ScheffervilleBoreal,787.338,6
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Palsa,PermBog,-,S,2008,2005,-,2,JA,C,3,500,62,-,1.08278537,12.1,2.1,-,-,0.4,-,-,-0.5,310,-,6.14,-,-,-,-40,-25,-30,-50,20,-,-,100,-,-,D,P,N,-,P,P,A,A,D,-2.86,StordalenPermBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Palsa,PermBog,-,S,2008,2003,-,2,JA,C,3,500,62,-,1.094121596,12.42,2.42,-,-,0.4,-,-,-0.5,310,-,6.14,-,-,-,-40,-25,-30,-50,20,-,-,100,-,-,D,P,N,-,P,P,A,A,D,-2.86,StordalenPermBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Palsa,PermBog,-,S,2008,2006,-,2,JA,C,3,500,62,-,1.115943177,13.06,3.06,-,-,0.4,-,-,-0.5,310,-,6.14,-,-,-,-40,-25,-30,-50,20,-,-,100,-,-,D,P,N,-,P,P,A,A,D,-2.86,StordalenPermBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Palsa,PermBog,-,S,2008,2004,-,2,JA,C,3,500,62,-,1.131939295,13.55,3.55,-,-,0.4,-,-,-0.5,310,-,6.14,-,-,-,-40,-25,-30,-50,20,-,-,100,-,-,D,P,N,-,P,P,A,A,D,-2.86,StordalenPermBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Sphagnum site,Bog,-,S,2008,2003,-,2,JA,C,3,500,62,-,1.495405563,31.29,21.29,-,-,0.5,-,-,-0.5,310,-,6.14,-,-,-,-20,-20,-14,-24,10,-,-,100,90,50,D,P,N,-,D,D,A,A,A,-2.86,StordalenBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Sphagnum site,Bog,-,S,2008,2006,-,2,JA,C,3,500,62,-,1.60906055,40.65,30.65,-,-,0.5,-,-,-0.5,310,-,6.14,-,-,-,-12,-12,-5,-24,19,-,-,100,90,50,D,P,N,-,D,D,A,A,A,-2.86,StordalenBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Sphagnum site,Bog,-,S,2008,2004,-,2,JA,C,3,500,62,-,1.622628426,41.94,31.94,-,-,0.5,-,-,-0.5,310,-,6.14,-,-,-,-12,-12,0,-20,20,-,-,100,90,50,D,P,N,-,D,D,A,A,A,-2.86,StordalenBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Sphagnum site,Bog,-,S,2008,2005,-,2,JA,C,3,500,62,-,1.634074025,43.06,33.06,-,-,0.5,-,-,-0.5,310,-,6.14,-,-,-,-10,-10,-5,-22,17,-,-,100,90,50,D,P,N,-,D,D,A,A,A,-2.86,StordalenBog,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Eriophorum site,Fen,-,S,2008,2004,-,2,JA,C,2,500,62,-,2.140589133,138.2258065,128.2258065,-,-,1.1,-,-,-0.5,310,-,6.14,-,-,-,0,0,-5,1,6,-,-,100,60,40,D,A,Y,-,D,A,A,A,A,-2.86,StordalenFen,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Eriophorum site,Fen,-,S,2008,2003,-,2,JA,C,2,500,62,-,2.142611462,138.8709677,128.8709677,-,-,1.1,-,-,-0.5,310,-,6.14,-,-,-,-2,-2,3,-8,11,-,-,100,60,40,D,A,Y,-,D,A,A,A,A,-2.86,StordalenFen,693.159,11
2,Olefeldt,"Backstrand et al., 2008, JGR & Backstrand et al., 2010, Biogeosciences",68.37,19.05,"Stordalen, Sweden",Stordalen,Sweden,-,Palsa complex,Eriophorum site,Fen,-,S,2008,2005,-,2,JA,C,2,500,62,-,2.188066203,154.1935484,144.1935484,-,-,1.1,-,-,-0.5,310,-,6.14,-,-,-,0,0,5,-2,7,-,-,100,60,40,D,A,Y,-,D,A,A,A,A,-2.86,StordalenFen,693.159,11
