"","HL_SHORE_L","HL_FRAC_L","Cell_ID"
"1",0,0,7265
"2",0,0,14494
"3",0,0,3598
"4",0,0,4863
"5",52.09,46.6136,19124
"6",0,0,19848
"7",341.78,24.8912,17191
"8",0,0,835
"9",1295.99,23.7884,10106
"10",90.54,60.9466,1211
"11",0,0,17231
"12",0,0,2825
"13",53.45,94.7375,987
"14",0,0,11925
"15",66.55,98.0459,17813
"16",0,0,22578
"17",0,0,19416
"18",0,0,16441
"19",9814.16,0.0612897,6382
"20",0,0,7577
"21",599.9,46.4847,2199
"22",39.82,99.3716,276
"23",0,0,23427
"24",0,0,2077
"25",0,0,8180
"26",0,0,18040
"27",0,0,14340
"28",393.45,15.6329,5829
"29",0,0,16202
"30",0,0,4477
"31",46.22,100,3541
"32",0,0,1636
"33",0,0,16786
"34",41.89,64.1247,11543
"35",0,0,7152
"36",0,0,17522
"37",0,0,21651
"38",2322.07,24.0341,10703
"39",0,0,21776
"40",0,0,12311
"41",0,0,6651
"42",0,0,18245
"43",0,0,19008
"44",0,0,10213
"45",0,0,13056
"46",110.18,56.3797,18830
"47",0,0,23466
"48",210.12,70.6658,426
"49",0,0,14035
"50",0,0,4420
"51",0,0,12795
"52",0,0,23029
"53",0,0,19016
"54",0,0,12400
"55",0,0,18211
"56",0,0,18593
"57",523.22,18.5384,1972
"58",0,0,3655
"59",0,0,16381
"60",0,0,19918
"61",0,0,10044
"62",0,0,7446
"63",22.78,100,9327
"64",1476.58,17.9248,2913
"65",0,0,5709
"66",0,0,7325
"67",0,0,3445
"68",0,0,12732
"69",0,0,15745
"70",0,0,16521
"71",148.6,12.2069,11194
"72",369.31,66.2806,17333
"73",0,0,17214
"74",0,0,330
"75",308.96,85.2645,18536
"76",0,0,1171
"77",0,0,9662
"78",175.84,29.831,15127
"79",0,0,11687
"80",0,0,11123
"81",0,0,13597
"82",0,0,4821
"83",0,0,18942
"84",34.96,62.0465,6787
"85",24.21,26.1666,18947
"86",0,0,7290
"87",206.9,78.9783,17382
"88",162.49,56.8341,1452
"89",67.9,19.1156,19565
"90",0,0,20347
"91",0,0,14790
"92",0,0,6300
"93",0,0,22684
"94",0,0,4116
"95",0,0,3156
"96",0,0,16518
"97",0,0,21756
"98",0,0,20892
"99",0,0,3413
"100",27.62,10.7401,14782
"101",708.84,32.9313,12689
"102",58.02,40.4876,22864
"103",0,0,3398
"104",0,0,19872
"105",0,0,15741
"106",0,0,16390
"107",0,0,16033
"108",159.17,100,783
"109",0,0,16804
"110",0,0,22107
"111",0,0,12806
"112",0,0,4166
"113",0,0,930
"114",0,0,21463
"115",599.26,64.5243,6426
"116",0,0,23371
"117",0,0,7756
"118",0,0,13592
"119",0,0,7631
"120",0,0,6700
"121",0,0,1587
"122",0,0,4711
"123",78.88,3.25516,16151
"124",0,0,92
"125",0,0,18206
"126",0,0,8007
"127",0,0,5439
"128",0,0,6245
"129",0,0,19209
"130",0,0,20271
"131",0,0,23373
