"","TotalID","TsoilB","Class","Occ.w","log.CH4","CH4Av","Annual.Temp"
"16","YukonPermWet",12,"PermWet",0.954242509439325,1.995635195,89,0.7
"17","YukonPermWet",7,"PermWet",1.14612803567824,2.186391216,143.6,1.7
"29","ThompsonFen",14.3,"Fen",1.23044892137827,1.814913181,55.3,-3.29
"30","ThompsonBog",12,"Bog",1.25527250510331,1.815577748,55.4,-3.29
"31","ThompsonFen",12.5,"Fen",1.25527250510331,1.848189117,60.5,-3.29
"32","ThompsonFen",11,"Fen",1.25527250510331,1.848804701,60.6,-3.29
"34","ThompsonBog",13.5,"Bog",1.17609125905568,1.985875357,86.8,-3.29
"36","ThompsonBog",12,"Bog",1.14612803567824,2.028977705,96.9,-3.29
"38","ThompsonFen",16.4,"Fen",1.23044892137827,2.342817315,210.2,-3.29
"39","KolaPermBog",5.9,"PermBog",0.301029995663981,0.934498451,-1.4,0.12
"41","NorthwestPermBog",0.03,"PermBog",0.301029995663981,0.991226076,-0.2,-14.62
"42","ChelyuskinPermBog",0.5,"PermBog",0.301029995663981,0.995635195,-0.1,-15.81
"44","OlenekskiyPermBog",0.5,"PermBog",0.301029995663981,1,0,-15.16
"45","ChelyuskinPermBog",1.6,"PermBog",0.301029995663981,1,0,-15.81
"48","NorthernPermBog",3.7,"PermBog",0.301029995663981,1.004321374,0.1,-8.64
"54","WesternYamalPermBog",2.8,"PermBog",0.301029995663981,1.056904851,1.4,-6.36
"56","NorthernPermBog",8.2,"PermBog",0.301029995663981,1.225309282,6.8,-1.77
"57","NorthernPermBog",4.1,"PermBog",0.301029995663981,1.29666519,9.8,-8.64
"58","PechoraPermBog",5.8,"PermBog",0.301029995663981,1.326335861,11.2,-2.85
"59","PechoraPermBog",5.6,"PermBog",0.301029995663981,1.336459734,11.7,-1.85
"60","YanaPermBog",2,"PermBog",0.301029995663981,1.401400541,15.2,-16.12
"61","LopatkaPermWet",3.6,"PermWet",0.301029995663981,1.498310554,21.5,-14.2
"62","NorthwestPermBog",2.6,"PermBog",0.301029995663981,1.625312451,32.2,-14.62
"63","OlenekskiyPermWet",3.6,"PermWet",0.301029995663981,1.645422269,34.2,-15.16
"64","YanaPermWet",2.5,"PermWet",0.301029995663981,1.739572344,44.9,-16.12
"65","NorthernPermWet",8.2,"PermWet",0.301029995663981,1.980457892,85.6,-1.77
"66","KolaPermWet",7.1,"PermWet",0.301029995663981,2.038620162,99.3,0.12
"67","KolguyevPermBog",6.7,"PermBog",0.301029995663981,2.051923916,102.7,-3.31
"68","WesternYamalPermBog",8.2,"PermBog",0.301029995663981,2.062581984,105.5,-6.36
"69","FaddeyevskyPermWet",5.7,"PermWet",0.301029995663981,2.217747073,155.1,-17.54
"83","ToolikPermWet",7.6,"PermWet",1.38021124171161,1.722633923,42.8,-8.37
"84","ToolikPermWet",7.3,"PermWet",1.38021124171161,1.854913022,61.6,-8.37
"85","ToolikPermWet",10,"PermWet",1.38021124171161,2.087781418,112.4,-8.37
"92","KolymaPermWet",5,"PermWet",0.954242509439325,2.361727836,220,-11.6
"93","AtqasukPermBog",2.3,"PermBog",0.845098040014257,1,0,-9.4
"94","BarrowPermBog",1.6,"PermBog",0.845098040014257,1,0,-10.45
"96","IvotukPermBog",3.7,"PermBog",0.698970004336019,1.113943352,3,-12.21
"97","BarrowPermBog",2,"PermBog",0.845098040014257,1.181843588,5.2,-10.45
"98","AtqasukPermBog",2.4,"PermBog",0.845098040014257,1.235528447,7.2,-9.4
"99","IvotukPermBog",4,"PermBog",0.698970004336019,1.269512944,8.6,-12.21
"100","IvotukPermBog",3.9,"PermBog",0.698970004336019,1.387389826,14.4,-12.21
"101","BarrowPermWet",2.033333333,"PermWet",0.845098040014257,1.45331834,18.4,-10.45
"102","BarrowPermWet",2.866666667,"PermWet",0.845098040014257,1.655138435,35.2,-10.44
"103","AtqasukMarsh ",4.95,"Marshes",0.845098040014257,1.670245853,36.8,-9.4
"104","BarrowPermWet",2.683333333,"PermWet",0.845098040014257,1.684845362,38.4,-10.45
"105","IvotukPermWet",7.26,"PermWet",0.602059991327962,1.763427994,48,-12.21
"127","IgarkaPermBog",2,"PermBog",1.20411998265592,0.977723605,-0.5,-6.86
"137","TazPermWet",6.7,"PermWet",0.845098040014257,2.166430114,136.7,-5.82
"152","LekVorkutaKomiPermBog",3.2,"PermBog",1.07918124604762,1.204119983,6,-5
"153","LekVorkutaKomiPermWet",4.2,"PermWet",1.07918124604762,1.477121255,20,-5
"154","LekVorkutaKomiPermWet",4.3,"PermWet",1.07918124604762,1.838849091,59,-5
